second,cpu_pct,mem_mb
0,57.0,307
1,56.3,317
2,60.0,318
3,63.2,319
4,65.9,320
5,68.2,320
6,70.3,320
7,72.1,321
8,73.8,321
9,75.1,323
10,76.5,324
11,77.6,324
12,78.7,325
13,79.6,326
14,80.6,328
15,81.4,328
16,82.1,330
17,82.8,330
18,83.4,331
19,84.0,333
20,84.6,333
21,85.1,334
22,85.6,335
23,86.1,335
24,86.6,335
25,86.9,335
26,87.3,335
27,87.7,335
28,88.0,335
29,88.4,335
30,88.7,335
31,89.0,335
32,89.3,335
33,89.5,335
34,89.8,335
35,90.0,335
36,90.3,335
37,90.5,335
38,90.7,335
39,90.9,335
40,91.1,335
41,91.3,335
42,91.5,335
43,91.7,336
44,91.8,336
45,92.0,336
46,92.1,336
47,92.3,336
48,92.4,336
49,92.6,336
50,92.7,336
51,92.9,336
52,93.0,336
53,93.1,336
54,93.2,336
55,93.3,336
56,93.5,336
57,93.6,337
58,93.7,337
59,93.8,337
60,93.9,337
61,94.0,337
62,94.1,337
63,94.2,337
64,94.2,337
65,94.3,337
66,94.4,337
67,94.5,337
68,94.6,337
69,94.7,337
70,94.7,337
71,94.8,337
72,94.9,337
73,94.9,337
74,95.0,337
75,95.1,337
76,95.1,337
77,95.2,337
78,95.3,337
79,95.3,337
80,95.4,337
81,95.5,337
82,95.5,337
83,95.6,337
84,95.6,337
85,95.7,337
86,95.7,337
87,95.8,337
88,95.8,337
89,95.9,337
90,95.9,337
91,96.0,337
92,96.0,337
93,96.1,337
94,96.1,337
95,96.2,337
96,96.2,337
97,96.3,337
98,96.3,337
99,96.3,337
100,96.4,337
101,96.4,337
102,96.5,337
103,96.5,337
104,96.5,337
105,96.6,337
106,96.6,337
107,96.6,337
108,96.7,337
109,96.7,337
110,96.7,337
111,96.8,337
112,96.8,337
113,96.8,337
114,96.9,337
115,96.9,337
116,96.9,337
117,97.0,337
118,97.0,337
119,97.0,337
120,97.0,337
121,97.1,337
122,97.1,337
123,97.1,337
124,97.2,337
125,97.2,338
126,97.2,338
127,97.2,338
128,97.3,338
129,97.3,338
130,97.3,338
131,97.3,338
132,97.4,338
133,97.4,338
134,97.4,338
135,97.4,338
136,97.5,338
137,97.5,338
138,97.5,338
139,97.5,338
140,97.5,338
141,97.6,338
142,97.6,338
143,97.6,338
144,97.6,338
145,97.7,338
146,97.7,338
147,97.7,338
148,97.7,338
149,97.7,338
150,97.8,338
151,97.8,338
152,97.8,338
153,97.8,338
